keys,coef
retir,1034
sell,937
expos,783
abandon,725
bureau,723
are,668
earn,621
challeng,594
carter,565
struggl,549
more,549
cuban,537
regard,529
compani,522
repres,501
book,485
visit,485
factor,477
primari,468
sector,453
michigan,445
syria,444
add,438
momentum,431
bottom,427
26,424
climat,412
parti,407
colleagu,402
exactli,395
